photo_id,title,description,tags,faves,short_description
500000,Tirupati,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round.","andhra_pradesh, india, tourism, spiritual",21329,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round."
500001,Araku Valley,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, heritage",26911,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500002,Borra Caves,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, historic",19096,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500003,Visakhapatnam Beach,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, mountains",7035,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500004,Tirupati Viewpoint,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, heritage",14209,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500005,Tirupati Temple,"Tourists frequently visit this location in Andhra Pradesh for photography, sightseeing, and exploration.","andhra_pradesh, india, tourism, heritage",7886,"Tourists frequently visit this location in Andhra Pradesh for photography, sightseeing, and explorat"
500006,Tirupati Lake,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, mountains",13910,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500007,Tirupati Fort,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, mountains",4056,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500008,Tirupati Hill Station,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round.","andhra_pradesh, india, tourism, beach",20559,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round."
500009,Tirupati Waterfall,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, mountains",19187,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500010,Tirupati Museum,"Tourists frequently visit this location in Andhra Pradesh for photography, sightseeing, and exploration.","andhra_pradesh, india, tourism, heritage",7244,"Tourists frequently visit this location in Andhra Pradesh for photography, sightseeing, and explorat"
500011,Tirupati Eco Park,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, mountains",28130,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500012,Tirupati Adventure Camp,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round.","andhra_pradesh, india, tourism, historic",13734,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round."
500013,Tirupati Beach,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round.","andhra_pradesh, india, tourism, mountains",3859,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round."
500014,Tirupati Riverfront,"This landmark in Andhra Pradesh offers a mix of history, local cuisine, and breathtaking sights.","andhra_pradesh, india, tourism, mountains",26742,"This landmark in Andhra Pradesh offers a mix of history, local cuisine, and breathtaking sights."
500015,Tirupati National Park,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round.","andhra_pradesh, india, tourism, heritage",19057,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round."
500016,Araku Valley Viewpoint,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round.","andhra_pradesh, india, tourism, historic",3192,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round."
500017,Araku Valley Temple,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable experiences.","andhra_pradesh, india, tourism, mountains",1953,"A famous tourist attraction in Andhra Pradesh, known for its culture, scenery, and unforgettable exp"
500018,Araku Valley Lake,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round.","andhra_pradesh, india, tourism, spiritual",22295,"One of the most visited destinations in Andhra Pradesh, attracting travelers year-round."
500019,Araku Valley Fort,"Tourists frequently visit this location in Andhra Pradesh for photography, sightseeing, and exploration.","andhra_pradesh, india, tourism, historic",15256,"Tourists frequently visit this location in Andhra Pradesh for photography, sightseeing, and explorat"
