photo_id,title,description,tags,faves,short_description,area
900000,Big Ben,A well-known England tourism landmark offering memorable experiences and local culture.,"England, London, Tourism, Urban",16640,A well-known England tourism landmark offering memorable experiences and local culture.,London
900001,Tower Bridge,One of England's most visited attractions with strong tourism and sightseeing appeal.,"England, London, Tourism, Architecture",16774,One of England's most visited attractions with strong tourism and sightseeing appeal.,London
900002,Buckingham Palace,A well-known England tourism landmark offering memorable experiences and local culture.,"England, London, Tourism, Culture",6100,A well-known England tourism landmark offering memorable experiences and local culture.,London
900003,British Museum,"A famous tourist destination in England known for its architecture, history, and culture.","England, London, Tourism, Urban",9941,"A famous tourist destination in England known for its architecture, history, and culture.",London
900004,London Eye,One of England's most visited attractions with strong tourism and sightseeing appeal.,"England, London, Tourism, Heritage",17651,One of England's most visited attractions with strong tourism and sightseeing appeal.,London
900005,Westminster Abbey,"A famous tourist destination in England known for its architecture, history, and culture.","England, London, Tourism, Culture",12981,"A famous tourist destination in England known for its architecture, history, and culture.",London
900006,Big Ben Historic Quarter,A well-known England tourism landmark offering memorable experiences and local culture.,"England, London, Tourism, Culture",5160,A well-known England tourism landmark offering memorable experiences and local culture.,London
900007,Big Ben Museum,"A famous tourist destination in England known for its architecture, history, and culture.","England, London, Tourism, Culture",2069,"A famous tourist destination in England known for its architecture, history, and culture.",London
900008,Big Ben Gardens,"A famous tourist destination in England known for its architecture, history, and culture.","England, London, Tourism, Heritage",6232,"A famous tourist destination in England known for its architecture, history, and culture.",London
900009,Big Ben River Walk,One of England's most visited attractions with strong tourism and sightseeing appeal.,"England, London, Tourism, Culture",985,One of England's most visited attractions with strong tourism and sightseeing appeal.,London
900010,Big Ben Town Square,A well-known England tourism landmark offering memorable experiences and local culture.,"England, London, Tourism, History",14435,A well-known England tourism landmark offering memorable experiences and local culture.,London
900011,Big Ben Heritage Site,One of England's most visited attractions with strong tourism and sightseeing appeal.,"England, London, Tourism, Culture",7656,One of England's most visited attractions with strong tourism and sightseeing appeal.,London
900012,Big Ben Cultural Centre,"Visitors from around the world travel here for photography, heritage, and exploration.","England, London, Tourism, Urban",150,"Visitors from around the world travel here for photography, heritage, and exploration.",London
900013,Big Ben Viewpoint,"A famous tourist destination in England known for its architecture, history, and culture.","England, London, Tourism, Urban",9114,"A famous tourist destination in England known for its architecture, history, and culture.",London
900014,Big Ben Cathedral,A well-known England tourism landmark offering memorable experiences and local culture.,"England, London, Tourism, Culture",2726,A well-known England tourism landmark offering memorable experiences and local culture.,London
900015,Big Ben Castle,"Visitors from around the world travel here for photography, heritage, and exploration.","England, London, Tourism, History",7525,"Visitors from around the world travel here for photography, heritage, and exploration.",London
900016,Big Ben Bridge,"Visitors from around the world travel here for photography, heritage, and exploration.","England, London, Tourism, Heritage",2301,"Visitors from around the world travel here for photography, heritage, and exploration.",London
900017,Big Ben Art Gallery,"A famous tourist destination in England known for its architecture, history, and culture.","England, London, Tourism, Urban",3532,"A famous tourist destination in England known for its architecture, history, and culture.",London
900018,Big Ben Adventure Trail,"Visitors from around the world travel here for photography, heritage, and exploration.","England, London, Tourism, Urban",2189,"Visitors from around the world travel here for photography, heritage, and exploration.",London
900019,Big Ben Tourism Hub,"A famous tourist destination in England known for its architecture, history, and culture.","England, London, Tourism, Heritage",6996,"A famous tourist destination in England known for its architecture, history, and culture.",London
900020,Tower Bridge Historic Quarter,One of England's most visited attractions with strong tourism and sightseeing appeal.,"England, London, Tourism, Heritage",15400,One of England's most visited attractions with strong tourism and sightseeing appeal.,London
